District,Crop,Soil,Area_Hectares,Motor_HP,Total_Liters_Used,Irrigation_Hours
Sukkur,Cotton,Loam,5.9,15.0,6045530.59,34.78
Sukkur,Sugarcane,Loam,17.19,20.0,24392076.21,105.33
Faisalabad,Maize,Clay,1.1,50.0,1147374.58,4.87
Bahawalpur,Maize,Clay,13.66,30.0,9738664.99,84.68
Sargodha,Sugarcane,Clay,16.77,7.5,14187055.85,202.79
Sukkur,Sugarcane,Sandy,7.0,15.0,13743949.8,79.7
Bahawalpur,Wheat,Sandy,5.3,20.0,6807024.94,94.24
Hyderabad,Cotton,Clay,13.29,25.0,12913327.98,36.47
Sukkur,Cotton,Loam,3.47,7.5,3570319.2,43.08
Sukkur,Wheat,Clay,1.4,40.0,961843.59,2.19
Faisalabad,Wheat,Clay,3.09,40.0,2318267.7,12.76
Bahawalpur,Rice,Loam,2.92,5.0,4246430.82,226.1
Faisalabad,Wheat,Loam,11.63,7.5,14363798.22,415.53
Multan,Maize,Clay,9.2,15.0,6958737.3,70.18
Bahawalpur,Sugarcane,Sandy,7.35,7.5,14494058.27,506.39
Bahawalpur,Sugarcane,Sandy,6.5,20.0,10463283.24,139.62
Bahawalpur,Cotton,Sandy,10.7,10.0,21987837.98,609.89
Sukkur,Wheat,Sandy,7.76,15.0,12016279.56,71.88
Sargodha,Rice,Loam,3.51,50.0,5033046.72,11.45
Sukkur,Wheat,Sandy,5.4,15.0,9314226.73,53.81
Sukkur,Wheat,Loam,12.8,40.0,10883654.5,23.76
Bahawalpur,Rice,Loam,8.05,10.0,9962785.06,277.98
Faisalabad,Cotton,Loam,12.67,20.0,15011517.1,169.42
Faisalabad,Cotton,Clay,19.79,7.5,18273697.18,540.45
Lahore,Maize,Loam,17.08,30.0,15505151.47,118.49
Bahawalpur,Sugarcane,Loam,16.63,30.0,24404661.66,225.54
Multan,Sugarcane,Loam,9.23,5.0,11505893.19,335.03
Sargodha,Sugarcane,Clay,15.15,15.0,17282854.88,130.36
Lahore,Cotton,Sandy,10.49,40.0,18852469.09,111.75
Sargodha,Cotton,Loam,3.1,7.5,3586762.73,53.19
Multan,Maize,Clay,14.39,20.0,9618758.19,66.97
Sukkur,Wheat,Loam,19.5,7.5,15787335.99,197.18
Multan,Cotton,Sandy,11.91,50.0,20951225.57,62.82
Bahawalpur,Sugarcane,Sandy,5.7,15.0,9306351.19,176.6
Hyderabad,Sugarcane,Sandy,12.94,30.0,29411825.68,73.55
Bahawalpur,Maize,Clay,6.94,15.0,6185749.62,106.0
Sargodha,Sugarcane,Loam,2.66,15.0,4339867.48,32.71
Multan,Rice,Sandy,5.07,5.0,10570060.16,314.81
Sukkur,Rice,Clay,18.33,7.5,18496926.24,234.06
Multan,Cotton,Sandy,1.04,40.0,1417351.89,5.23
Hyderabad,Cotton,Loam,7.47,25.0,6705263.65,19.2
Sargodha,Cotton,Loam,6.68,5.0,8179377.78,181.0
Lahore,Sugarcane,Sandy,9.04,7.5,14060785.33,436.02
Hyderabad,Cotton,Loam,14.82,5.0,16657155.87,231.43
Faisalabad,Maize,Sandy,6.19,50.0,7542105.68,33.82
Faisalabad,Maize,Sandy,15.48,25.0,17551338.4,157.47
Hyderabad,Sugarcane,Loam,5.51,5.0,5713939.35,79.48
Lahore,Sugarcane,Sandy,19.9,10.0,33611138.76,806.7
Lahore,Wheat,Sandy,19.27,7.5,24390627.92,759.78
Hyderabad,Wheat,Loam,19.6,20.0,22228043.23,77.79
Lahore,Maize,Clay,12.68,5.0,11396572.53,538.76
Faisalabad,Wheat,Sandy,17.26,30.0,27018651.65,191.13
Faisalabad,Cotton,Loam,17.47,10.0,20005735.0,432.9
Sargodha,Maize,Sandy,13.88,20.0,20163722.19,109.11
Lahore,Sugarcane,Clay,18.5,15.0,20069107.43,320.35
Bahawalpur,Maize,Clay,5.39,25.0,4763560.13,53.2
Bahawalpur,Wheat,Loam,14.21,15.0,17245396.12,303.21
Faisalabad,Wheat,Clay,12.03,40.0,9476565.97,52.68
Bahawalpur,Wheat,Clay,15.41,10.0,12651220.8,341.07
Sargodha,Cotton,Sandy,7.83,20.0,12039368.16,63.31
Hyderabad,Sugarcane,Loam,15.04,50.0,17968012.63,24.82
Faisalabad,Wheat,Loam,16.58,40.0,19756130.29,110.82
Hyderabad,Rice,Clay,14.69,30.0,19011672.54,46.11
Sargodha,Maize,Sandy,7.85,5.0,9280208.05,197.11
Sukkur,Rice,Clay,14.32,40.0,18115391.95,39.84
Multan,Rice,Loam,13.0,40.0,15527957.82,57.12
Bahawalpur,Wheat,Sandy,15.52,5.0,23295317.71,1241.41
Faisalabad,Sugarcane,Clay,4.84,5.0,5105339.06,222.54
Hyderabad,Maize,Loam,6.62,30.0,6506214.71,16.07
Faisalabad,Rice,Loam,11.09,30.0,13600529.37,98.33
Faisalabad,Rice,Loam,8.66,10.0,15412185.29,318.83
Hyderabad,Rice,Sandy,18.91,5.0,40586362.08,596.63
Multan,Cotton,Loam,10.09,20.0,13371711.4,93.64
